username,recency,frequency,monetary,cluster,umap_x,umap_y
.......faara,1779,2,144761.0,1,7.8972464,18.52286
.18112005.,1789,4,1120709.0,5,21.499983,6.775821
.aceng09,1456,2,109077.0,1,1.3906943,6.0667615
.alifqahnurtiy0,712,2,132040.0,0,6.4667435,-2.709821
.apit_ngabito,1667,3,353000.0,4,17.83133,12.278074
.btrd25,1444,4,389160.0,5,18.877554,4.890846
.farhanardiansyah25_,1489,2,90640.0,1,-1.5980381,7.6997747
.goday,1474,5,282420.0,5,20.254477,3.4942005
.mila_02,1557,2,178406.0,1,7.821597,9.759521
.nadia_67,1653,2,121005.0,1,5.159941,16.219187
.tyapuji,1571,2,110750.0,1,2.436025,10.08077
.v3n1,798,3,232840.0,3,14.734128,-2.9776826
00000977262625527282_a,1631,2,94444.0,1,1.3499331,15.587744
000tuti,1412,6,469163.0,5,20.977657,2.7799635
0012_1,1698,2,192340.0,1,10.451997,16.038195
002_nadine,1400,2,135960.0,1,4.840877,4.325695
003_06_02,1588,3,115257.0,4,12.633098,8.587888
00824308970000.khanina,1649,2,120962.0,1,5.197241,16.190395
00puvbx67y,781,2,296696.0,0,10.383575,-4.6030264
00xxabc,1677,2,79798.0,1,-0.8810601,16.6632
00yytt,1608,2,130264.0,1,4.751306,9.999148
01011999fasriimhalerndruru,1743,2,325070.0,1,12.508062,13.842331
0105saiful,1457,2,164955.0,1,6.7112317,6.063139
010rani,1432,2,68600.0,1,-5.773102,8.006175
012345678910bella,1570,2,143098.0,1,5.7022195,9.70344
012705.,1316,2,88477.0,1,-2.9437053,4.4187846
013aminah,1318,30,2671458.0,5,23.59662,2.4529514
01668.lilih,1573,2,139050.0,1,5.409688,9.73207
01_iipibad,758,2,76875.0,0,-2.108122,-1.7629691
01a03,1378,2,152440.0,1,5.917539,4.1779375
01adel_,1545,3,293422.0,4,15.818898,7.5852695
01adinda,1560,5,826653.0,5,22.497751,4.427806
01bi5g2bq3,1293,2,266770.0,1,9.725246,5.8027835
01evhysyam,1427,2,208266.0,1,8.660285,6.2850356
01ida10,915,3,365796.0,3,15.51519,-2.4204905
01ih43pp6h,557,3,142800.0,3,14.077801,-4.854416
01nurms,915,2,70920.0,0,-2.8540945,-1.3830792
02012000fadilla_,1666,3,154220.0,4,14.798448,11.14093
0207feny,1521,3,485584.0,4,16.895075,8.395854
020919aku,1473,2,202910.0,1,8.574203,7.325222
0250_,1494,2,86300.0,1,-2.3215005,8.073081
0255zpcdgkqg5dmo2dcy0l9_4m3r,1618,2,176000.0,1,9.165365,14.843071
0280nhbgs1,1341,5,539514.0,5,21.072464,2.2573988
02_012006,1625,2,110735.0,1,3.9701862,15.573567
02_02_02,1706,2,143365.0,1,7.60279,17.237785
02_05_2003,1726,2,80402.0,1,-0.7197266,17.338568
02ahmadekk,1404,3,117031.0,4,11.815398,6.307355
02ahonkkempleh,1482,2,120111.0,1,3.2155797,6.990765
02fauzan02,1344,3,102300.0,4,11.456656,6.607878
02nabilla,1670,7,742479.0,5,22.533611,5.6225705
02nb1oa_jb,1799,2,185760.0,1,11.030292,17.61419
02nur_aisyah,1785,2,252026.0,1,12.492121,15.429017
02nurulhidayah,1380,2,112270.0,1,1.3003612,3.9716284
02selfia_.,1594,2,98000.0,1,0.39748827,10.933071
02vhjj3x9v,1420,5,558976.0,5,21.380735,2.7742758
02ya_,1516,2,118450.0,1,3.1768653,8.130157
0303tambahdadi,1433,2,70658.0,1,-5.433435,7.8902216
03082002_,1414,2,170530.0,1,7.1236544,5.210103
031l8kdvo0j00nqsyybmmk5hwmh7,1777,2,337850.0,1,12.628464,13.827
033.334.2004,1290,6,392088.0,5,20.44541,2.4024737
038unoddhu,1580,2,67980.0,1,-5.9524283,12.134325
03az.iz,1490,2,76220.0,1,-4.162551,8.557688
03desi114,1389,3,234800.0,4,14.8364,5.0099154
03di_p1nqr,1564,2,325360.0,1,10.777741,10.46871
03g4kbtbs1,1553,2,66000.0,1,-6.3625193,11.492361
03indahputri,1490,3,310765.0,4,15.911859,6.9360356
03lykha,384,4,310956.0,2,16.8797,-7.1003833
03q2sjm6xn,526,2,103296.0,0,1.1555792,-6.825387
03raizza,776,2,86760.0,0,-0.40529606,-1.9851232
03sa__,1590,6,574225.0,5,21.960436,4.690705
040702r,1547,2,78890.0,1,-3.0840368,10.164682
049.18.10.816.261,1517,3,187759.0,4,13.905392,6.1300883
04_nila,1645,7,807735.0,5,22.547243,5.4730015
04kiky,1489,2,335220.0,1,10.653817,9.496729
04mal_,1751,2,146645.0,1,7.9958186,18.234632
04mgk0qju1,1757,3,215311.0,4,16.115026,12.753368
04pq89ep68,334,3,396815.0,3,15.979232,-2.7441955
050499_,1730,2,226316.0,1,11.936315,15.640987
0506_03,1645,5,1724700.0,5,23.231665,5.362136
050957rsk,845,2,104920.0,0,2.8136015,-2.053196
051_.,1504,9,880314.0,5,22.41567,3.4874747
059tpwmzul,924,2,130752.0,0,6.2547755,-1.5777035
05_03_29_7,1758,2,209375.0,1,11.659388,16.500748
05evy_,1746,2,152180.0,1,8.595791,18.013163
05kztquyd4,763,2,119416.0,0,5.067379,-2.7082524
05onlineshop,1541,3,315390.0,4,15.9758215,7.745269
05p2ldfz2_,1427,3,134309.0,4,12.204586,5.848839
05ramadan122002,807,3,219424.0,3,14.639812,-3.0975554
061105_.,1568,2,103550.0,1,1.477791,10.2775345
0654cid977,1504,2,78000.0,1,-3.7268116,8.781132
06_11_1966,1465,2,141503.0,1,5.1607795,6.2066445
06efoily4y,1483,2,119480.0,1,3.183815,7.04671
06fenny_oktaviani06.,1303,3,162000.0,4,12.706201,4.4986544
06fitri_astuti,1575,2,76500.0,1,-3.5359936,11.137497
06piona_.,1401,2,74192.0,1,-5.07436,7.0282516
072_germtb,1570,2,74000.0,1,-4.054166,11.563928
0764.f44dd354r.9164,1385,2,124000.0,1,3.2005136,4.017997
07a_.novy,781,2,102860.0,0,2.1979942,-2.573864
07as05,1564,3,266770.0,4,15.4434185,7.52282
07pygw798d,1425,2,78236.0,1,-4.1748533,6.6410656
07sela,1308,2,177778.0,1,7.871898,3.8631196
07x2z8zp2zl82l3l372kzwkwdib8,710,2,252536.0,0,10.559078,-3.9595387
0800_01,1414,2,121540.0,1,3.0495574,4.5848436
0809204_anis,1571,11,783767.0,5,22.438894,4.367914
081229961536imah,1330,2,266770.0,1,9.719815,5.80607
081299843129________,1760,3,238800.0,4,16.5335,13.032026
081326568854786786_.,1709,3,438076.0,4,18.19086,12.002352
081361815459000...99999,1568,2,180250.0,1,7.8699765,9.868895
081918022711nadiya,1676,16,1350756.0,5,23.180536,5.6885695
082197077731eko,747,2,207156.0,0,10.613109,-2.7743819
0821rindisriwahyuni,1457,2,200000.0,1,8.449966,6.864405
082276215207mastalena,1566,4,338000.0,5,19.001158,5.8751817
0822_67138271,1728,2,202580.0,1,11.145754,16.245085
082349177626a,1366,2,431771.0,1,11.079491,9.570772
082386121845_.,1392,2,63093.0,1,-6.316146,8.066843
082bian315syah,1704,2,73685.0,1,-1.6591531,16.961216
083175287557devita,1452,2,115000.0,1,2.2684758,5.969589
0852316i1177,1507,2,117000.0,1,2.9644098,7.997121
085376708171ayyaraseptyani,1347,4,198172.0,5,17.568008,3.81926
085606525762ok,1767,6,722400.0,5,22.375975,6.2726703
085669479975.,1620,10,1252713.0,5,23.069426,5.114318
0856ub0q6h,1310,2,104545.0,1,0.0069444096,3.1136398
085705559373_16,1385,4,299400.0,5,18.353056,4.226021
085754500008.,1576,3,355695.0,4,16.301527,8.151481
085758370106arief,1344,6,399020.0,5,20.593163,2.4767983
085793331837ndjsjsiwbeuebeu,1557,2,194670.0,1,8.479609,9.708929
0857katy,631,2,132378.0,0,4.9772463,-7.6200304
085815430302wafahsetiowati,719,4,130305.0,2,15.790828,-7.074307
0859p0c_iglot0zz_q3hlsamwxas,1566,2,246391.0,1,9.834999,10.039096
08818796055_,1378,2,132077.0,1,4.0158734,3.7268574
08971_.,1585,2,68400.0,1,-5.84316,12.328805
089ana,1674,4,285430.0,5,19.156591,7.152995
08d3ttf0yy,232,2,165385.0,0,7.393618,-8.859655
08j6t80gcg,1731,2,68334.0,1,-2.4454184,17.146612
08lady03,1745,2,108660.0,1,3.9126053,18.222761
08mifr_w3d,1554,2,89868.0,1,-1.1702986,9.871638
08pm44tju6,374,4,408184.0,2,17.086298,-7.0712824
08safrizal,1630,2,217710.0,1,10.7448,14.383525
08su23si,1562,5,277820.0,5,20.345253,4.441593
08tpclgrquukuwka7rpl4trygplc,1566,3,134640.0,4,12.675211,7.5550427
08zah35fif,1646,2,161861.0,1,8.561736,15.355335
090502hanna,1628,3,165924.0,4,15.135891,11.255382
09092003_09092003_09092003,1732,2,293050.0,1,12.448955,14.050249
092anisanuraulia,341,2,130600.0,0,4.6473575,-8.473129
098dona,1630,2,106410.0,1,3.301627,15.53764
098p97865ytr43,1358,2,222000.0,1,9.141266,5.5115724
09_0401,1351,7,498778.0,5,21.061686,2.3429675
09adnan,866,2,215557.0,0,10.288546,-2.962016
09qdzo0bfh,741,2,59200.0,0,-4.5347753,-1.8583658
0_tignebni,796,2,156348.0,0,8.391537,-1.8501667
0a75gmrcni,1396,2,96331.0,1,-1.21969,5.0093284
0adfhm67kv,280,2,99968.0,0,0.15331912,-7.3433113
0an5jyc5u_g1xgu5room4dx8t46b,473,2,275625.0,0,10.1319895,-6.7126536
0aqmjixr1h,1715,2,248306.0,1,12.030732,14.850263
0beu6gnz6l,1559,7,361844.0,5,20.855566,4.4641824
0c942usf13,1329,2,141000.0,1,5.2842865,3.2106338
0cs7qj5qn9,1555,3,418560.0,4,16.683084,8.363674
0david_.,1738,2,205107.0,1,11.454042,16.314543
0dh0fq4xnd,1408,2,90228.0,1,-2.2045262,5.5348663
0dxjsq5bi8,1427,2,107910.0,1,1.0720832,5.3572655
0fitriana0,562,2,77111.0,0,-2.3559034,-4.9983215
0fspu_ycza,150,3,131500.0,3,13.985336,-5.334149
0hwj6z15y3,1690,3,96464.0,4,13.381636,9.897185
0i2uw8k56o,348,2,140528.0,0,5.4790683,-8.599766
0ioi_vnhx1,697,2,91042.0,0,0.3134847,-2.426133
0j4gksj6mr,259,10,769975.0,2,18.44288,-6.644958
0jpztoqkla,616,2,33231.0,0,-6.071638,-0.9189546
0kebay,1386,2,91200.0,1,-2.089899,5.1916795
0llhzdk7gb,1569,2,222000.0,1,9.265083,9.864179
0lty01,471,3,482438.0,3,16.009619,-2.5288732
0lug8d26n5,1436,2,110067.0,1,1.3375208,5.4769244
0ly5c4ibnf,1492,2,65902.0,1,-5.900909,9.037693
0mb0hdcjf1,1347,3,251269.0,4,14.958107,4.921959
0md8c4hjfs,1582,2,92700.0,1,-0.5589112,10.423722
0mzipxhxrs,242,2,83257.0,0,-1.9634652,-6.016626
0nrwzbavj6,1591,2,90455.0,1,-1.0807134,10.453613
0o0zk9jj65,717,2,193000.0,0,10.279133,-2.2429442
0omeh5gp6f,845,2,235169.0,0,10.397586,-3.480573
0p0nhc9jze,1556,2,200900.0,1,8.6402855,9.704259
0p3qxfhnhu,1405,2,193510.0,1,8.273349,5.4221764
0p9jd0t8lb,1389,2,110526.0,1,1.1499089,4.143372
0pansopyan,1548,4,251000.0,5,18.198244,5.4590006
0pskkfz3gl,1516,2,75110.0,1,-4.261872,9.311065
0qhyj35grty2jy,1585,2,115257.0,1,3.2741222,10.210356
0qr32bfpcy,742,2,136160.0,0,6.8843064,-2.4917612
0r4n4a777uubrgquzl5tpo4rm0at,1510,2,94690.0,1,-0.62013847,8.328651
